gene	G1	G2	G3	G4	N1	N2	N3	N4	N5
FBgn0264979	0	0	0	0	1	1	0	0	0
FBgn0262106	0	0	0	0	0	0	0	0	0
FBgn0011832	0	0	0	0	0	0	0	0	0
FBgn0042186	0	0	0	0	0	0	0	0	0
FBgn0042187	0	0	0	0	1	0	0	0	0
FBgn0031406	0	0	0	0	0	0	0	0	0
FBgn0266022	0	0	0	0	0	0	0	0	0
FBgn0266023	0	0	0	0	0	0	0	0	0
FBgn0031407	0	0	0	0	0	0	0	0	0
FBgn0054049	0	0	0	0	0	0	0	0	0
FBgn0250841	0	0	0	0	0	1	0	0	0
FBgn0264084	0	0	0	0	0	0	0	0	0
FBgn0264085	1	0	0	0	0	0	0	0	0
FBgn0031409	0	0	0	0	0	0	0	0	0
FBgn0051681	0	0	0	16	0	0	0	0	0
FBgn0261523	0	0	4	1	0	0	0	0	0
FBgn0031410	0	0	0	0	0	0	0	0	0
FBgn0028570	0	0	0	0	0	0	0	0	0
FBgn0051949	0	0	165	0	0	0	0	0	0
FBgn0031412	0	0	0	0	0	0	0	0	0
FBgn0031413	219	1	0	0	8	0	0	0	105
FBgn0031414	3	1	1	1	2289	43	431	344	859
FBgn0014010	2858	2911	1855	254	2008	237	1729	336	652
FBgn0261647	662	5	152	25	948	377	2437	97	850
FBgn0031417	0	0	0	0	67	0	0	50	0
FBgn0031418	252	300	742	59	213	48	391	0	449
FBgn0031419	0	0	2	0	16	0	0	0	45
FBgn0266317	0	0	0	0	0	0	0	0	0
FBgn0031420	123	1	23	71	598	108	810	570	628
FBgn0264672	147	2	46	0	180	48	397	159	220
FBgn0031422	135	0	0	33	0	0	0	0	1
FBgn0031423	0	0	0	0	1	0	1	0	0
FBgn0264081	0	0	0	0	0	0	0	0	0
FBgn0031424	24	61	41	2	2718	311	1875	2257	2109
FBgn0031426	0	0	0	0	27	0	0	0	0
FBgn0051948	0	0	0	0	164	0	0	0	0
FBgn0085477	0	0	0	0	113	0	0	0	0
FBgn0085476	0	0	0	0	245	0	0	0	0
FBgn0031428	1	0	0	0	6	4	26	0	384
FBgn0264988	0	1	0	0	0	0	0	0	0
FBgn0266217	0	0	0	0	0	0	0	0	0
FBgn0000490	0	0	9	0	0	0	4	1	6
FBgn0012017	0	0	0	0	0	0	0	0	0
FBgn0012016	0	0	0	0	0	0	0	0	0
FBgn0266824	0	0	0	0	0	0	0	0	0
FBgn0264978	79	335	118	1	1	0	5	328	0
FBgn0011818	397	1	116	42	697	52	350	276	1484
FBgn0265818	0	0	0	0	0	0	0	0	0
FBgn0031430	0	0	0	0	0	0	0	0	0
FBgn0267738	0	0	0	0	0	0	0	0	0
FBgn0264943	0	0	0	0	0	0	0	0	0
FBgn0031431	0	0	0	13	0	0	0	0	0
